asset_id,asset_type,unit,last_service_date,operational_hours,total_assets
AR_001,T-90 Bhishma,Armoured Corps,2025-03-10,800,45
AR_002,Arjun MBT Mk1A,Armoured Corps,2025-04-05,1200,12
AR_003,BMP-2 Sarath,Mechanised Infantry,2025-02-18,650,120
AR_004,K9 Vajra,Artillery,2025-05-01,420,100
AR_005,M777 Howitzer,Artillery,2025-01-22,980,145
AR_006,Pinaka MLRS,Artillery,2025-06-10,310,44
AR_007,HAL Rudra,Army Aviation,2025-03-28,560,12
AR_008,ALH Dhruv,Army Aviation,2025-05-15,700,75
AR_009,T-90 Bhishma,Armoured Corps,2025-01-09,1500,45
AR_010,BMP-2 Sarath,Infantry,2025-04-20,400,120
AR_011,Arjun MBT Mk1A,Armoured Corps,2025-02-14,900,12
AR_012,K9 Vajra,Artillery,2024-12-01,1800,100
AR_013,Smerch MLRS,Artillery,2025-03-05,620,8
AR_014,ALH Dhruv,Army Aviation,2025-06-01,150,75
AR_015,T-90 Bhishma,Para SF,2025-05-22,1100,45
AR_016,BMP-2 Sarath,Engineers,2025-04-11,740,120
AR_017,HAL Rudra,Army Aviation,2024-11-30,1650,12
AR_018,K9 Vajra,Artillery,2025-02-28,490,100
AR_019,M777 Howitzer,Infantry,2025-06-15,220,145
AR_020,Pinaka MLRS,Artillery,2025-01-15,880,44
